AÑO,CE_SP,CP,I_E,R,C_S_SP,T,I,A_P_M,NI,S_C,TOTAL,Q_B,BI
1990,298.7,208.7,507.4,451.3,144,1513.6,592.2,418.3,14.5,3134,3641.4,2511.3,426.4
1991,642.2,244.9,887.1,465.1,125.7,1611.2,612.6,453.9,15.1,3283.5,4170.7,2592,523.3
1992,778.6,306.5,1085.1,478.9,147.7,1730.7,612,478,22.5,3469.9,4555,2669.2,724.9
1993,530,90.2,620.1,476.5,156.9,1951.9,557.6,494.9,19.7,3657.5,4277.6,2605.7,1049.4
1994,84.7,36.3,121,451.8,134,2198.5,504.1,533.2,22.5,3844,3965,2483.4,664.8
1995,318.1,239.4,557.4,466.2,133.9,2181.6,530.2,553.6,22.1,3887.6,4445.1,2359.3,1278.3
1996,674,237.6,911.6,478.5,124.3,2318.1,704.7,601.8,23,4250.4,5162,2246.1,1340.1
1997,481.8,213.9,695.7,458.3,147.4,2522.2,830.9,564.8,7.5,4531.1,5226.8,2254.1,1122.4
1998,286.8,311.9,598.6,484.3,163.3,2691.4,856.4,597.9,8.7,4802,5400.6,2067.7,1045.1
1999,1338.1,282.4,1620.5,500,124.1,2780.5,827.8,587.4,8.7,4828.4,6448.9,2067.3,1137.2
2000,429.3,292,721.2,483.6,149.6,2518.8,720.3,565.1,7.5,4444.9,5166.1,2045.3,1205.3
2001,21.8,313.6,335.4,447.5,135.4,2414.2,638.4,535.3,6.4,4177.1,4512.6,2039,1374
2002,33,247.6,280.5,430.5,136.4,2180.1,567.9,506.7,5.5,3827.1,4107.6,2038.9,1226.7
2003,12.1,291.7,303.8,399.6,132.5,2094.2,595.9,522.1,4.4,3748.6,4052.4,2111.7,1216
2004,894.5,407.8,1302.3,374.1,137.8,2211.3,622.9,544.9,4.6,3895.7,5198,2150.2,1209.1
2005,795,398.8,1193.8,366.7,133.8,2276.8,633.3,549,5.2,3964.8,5158.6,2267.3,1417.6
2006,1676.7,368.1,2044.8,392.4,78.4,2499.7,601,457.4,4.9,4033.9,6078.7,2550.7,947.2
2007,990.7,288.7,1279.4,443.7,83.2,2674.8,654.9,456.5,5.2,4318.2,5597.6,2851.5,1287.7
2008,2686.6,361.9,3048.5,405.6,93.2,2728,713.2,516.8,0,4456.7,7505.2,4712.9,1607.9
2009,2251.6,364.6,2616.1,428.3,102.2,2944.4,652.2,508.6,0,4635.8,7251.9,5029.7,1803.3
2010,872.2,349.1,1221.3,445.7,105.3,3102.1,582.6,506.7,0,4742.4,5963.6,5616.3,1660.8
2011,2043.8,258.7,2302.5,428.1,92.5,3233,660.2,522.4,0,4936.2,7238.8,5720.3,1469
2012,2925.2,337.9,3263.1,411.5,89.8,3285,649.4,499.4,0.6,4935.8,8198.8,5854.4,1178.3
2013,1448.5,387.6,1836.1,429.7,96.5,3449.2,731.6,502.7,0.6,5210.3,7046.4,6242.3,943.9
2014,544.5,403.8,948.4,388.5,86.6,3447,846.1,481.7,0.9,5250.7,6199,7246.5,917.4
2015,700,408.2,1108.2,384.7,83.3,3499,822.7,458,,5247.6,6355.8,8496.7,844.5
2016,340.6,482.1,822.7,439.6,91.2,3585.3,894.1,471.8,,5482,6304.8,8831.1,758.5
2017,183.3,147.8,331.1,383.3,81.7,3734,821.3,486.2,,5506.4,5837.5,9069.7,629.2
